City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-12.63,93,93,2.77,RU,1730420838
1,adamstown,-25.066,-130.1015,21.13,82,100,11.91,PN,1730420839
2,kabalo,-6.05,26.9167,21.26,97,98,0.91,CD,1730420840
3,sechura,-5.5569,-80.8222,18.77,73,60,6.98,PE,1730420841
4,keflavik,64.0049,-22.5624,1.24,51,0,6.69,IS,1730420842
5,afaahiti,-17.75,-149.2833,23.31,77,59,7.0,PF,1730420843
6,west island,-12.1568,96.8225,25.99,83,89,6.17,CC,1730420844
7,barcelos,41.5388,-8.6151,14.97,83,76,2.2,PT,1730420845
8,punta arenas,-53.15,-70.9167,14.06,51,75,2.06,CL,1730420847
9,tynda,55.1667,124.7167,-9.0,93,97,1.18,RU,1730420848
10,waitangi,-43.9535,-176.5597,12.64,87,60,7.75,NZ,1730420849
11,alofi,-19.0595,-169.9187,27.94,78,100,5.14,NU,1730420850
12,invercargill,-46.4,168.35,7.41,91,100,1.55,NZ,1730420851
13,olonkinbyen,70.9221,-8.7187,-4.84,61,100,12.66,SJ,1730420852
14,aykhal,66.0,111.5,-14.21,97,100,0.99,RU,1730420853
15,blackmans bay,-43.0167,147.3167,13.07,65,39,1.79,AU,1730420854
16,ust-nera,64.5667,143.2,-23.51,99,99,1.46,RU,1730420855
17,talnakh,69.4865,88.3972,-9.55,94,100,5.02,RU,1730420856
18,taoudenni,22.6783,-3.9836,28.24,13,29,3.79,ML,1730420857
19,puerto natales,-51.7236,-72.4875,11.77,74,100,1.71,CL,1730420858
20,makokou,0.5738,12.8642,20.71,99,96,0.41,GA,1730420860
21,hotan,37.0997,79.9269,9.61,33,94,2.7,CN,1730420861
22,la ronge,55.1001,-105.2842,-1.86,64,20,4.63,CA,1730420862
23,bredasdorp,-34.5322,20.0403,15.13,97,28,2.6,ZA,1730420863
24,avarua,-21.2078,-159.775,27.03,69,61,6.17,CK,1730420864
25,mukalla,14.5425,49.1242,24.87,62,44,1.84,YE,1730420865
26,praya,14.9215,-23.5087,25.59,78,99,4.35,CV,1730420866
27,chernyshkovskiy,48.4219,42.2308,4.48,84,87,3.17,RU,1730420867
28,grytviken,-54.2811,-36.5092,-1.04,75,44,6.31,GS,1730420868
29,port-aux-francais,-49.35,70.2167,5.75,92,100,15.43,TF,1730420869
30,qaqortoq,60.7167,-46.0333,-0.32,95,100,10.09,GL,1730420870
31,port mathurin,-19.6833,63.4167,23.35,79,5,8.87,MU,1730420871
32,santa ana,33.7456,-117.8678,21.53,41,0,4.12,US,1730420873
33,nemuro,43.3236,145.575,12.08,68,47,5.78,JP,1730420874
34,albany,42.6001,-73.9662,20.85,65,50,0.89,US,1730420875
35,churu,28.3,74.95,23.9,37,0,2.88,IN,1730420876
36,flekkefjord,58.2971,6.6607,11.6,90,100,9.5,NO,1730420877
37,novyy urgal,51.0736,132.5642,-0.91,51,100,1.61,RU,1730420878
38,aasiaat,68.7098,-52.8699,-5.97,74,100,8.81,GL,1730420879
39,krasnokuts'k,50.066,35.1628,4.81,77,83,3.69,UA,1730420880
40,ancud,-41.8697,-73.8203,10.59,88,91,3.53,CL,1730420881
41,caleta de carquin,-11.0925,-77.6267,17.72,82,73,3.87,PE,1730420882
42,yellowknife,62.456,-114.3525,-5.33,100,100,7.72,CA,1730420883
43,praia da vitoria,38.7333,-27.0667,20.14,94,75,7.26,PT,1730420884
44,shalqar,47.8333,59.6,4.45,65,89,6.74,KZ,1730420885
45,st. john's,47.5649,-52.7093,8.97,96,100,6.17,CA,1730420886
46,ilulissat,69.2167,-51.1,-2.99,43,75,10.29,GL,1730420887
47,bethel,41.3712,-73.414,21.85,70,100,0.45,US,1730420888
48,jabor,5.921,169.6434,28.83,67,29,1.61,MH,1730420889
49,trevelin,-43.0858,-71.4639,14.44,61,45,2.26,AR,1730420890
50,undurkhaan,47.3194,110.6556,-1.57,82,83,2.12,MN,1730420892
51,oum hadjer,13.2954,19.6966,24.59,19,85,5.61,TD,1730420893
52,mananara,-16.1667,49.7667,22.83,89,82,0.61,MG,1730420894
53,isafjordur,66.0755,-23.124,-6.22,66,17,5.13,IS,1730420895
54,howard springs,-12.497,131.047,31.04,83,100,2.49,AU,1730420896
55,charlottetown,46.2352,-63.1267,14.87,88,75,5.14,CA,1730420897
56,souillac,-20.5167,57.5167,22.21,83,75,2.57,MU,1730420898
57,callao,-12.0667,-77.15,20.95,72,0,4.12,PE,1730420899
58,kavieng,-2.5744,150.7967,28.91,70,77,1.09,PG,1730420900
59,anadyr,64.75,177.4833,-2.72,68,40,10.0,RU,1730420901
60,likhoslavl',57.1275,35.464,2.75,97,100,3.55,RU,1730420902
61,belomorsk,64.5232,34.7668,-2.8,77,14,3.23,RU,1730420903
62,san jose del cabo,23.0589,-109.6977,28.66,75,40,5.14,MX,1730420904
63,buldan,38.045,28.8306,7.96,61,0,2.64,TR,1730420905
64,portland,45.5234,-122.6762,10.45,94,100,2.68,US,1730420785
65,dazhou,31.2159,107.5009,15.14,71,100,1.94,CN,1730420907
66,masjed soleyman,31.9364,49.3039,21.5,31,37,1.56,IR,1730420909
67,tazovsky,67.4667,78.7,-5.64,93,99,6.37,RU,1730420910
68,sao joao da barra,-21.6403,-41.0511,22.08,87,12,3.32,BR,1730420911
69,alaghsas,17.0187,8.0168,24.4,16,93,5.63,NE,1730420912
70,firuzabad,28.8438,52.5707,17.82,55,76,0.77,IR,1730420913
71,iqaluit,63.7506,-68.5145,-0.15,74,100,11.32,CA,1730420914
72,edinburgh of the seven seas,-37.0676,-12.3116,14.1,80,60,11.04,SH,1730420915
73,opuwo,-18.0607,13.84,21.51,27,0,2.83,NA,1730420916
74,mount gambier,-37.8333,140.7667,12.98,50,100,2.4,AU,1730420917
75,port saint john's,-31.6229,29.5448,16.72,86,21,3.24,ZA,1730420918
76,tweed heads,-28.1817,153.547,26.02,65,61,6.17,AU,1730420919
77,codrington,-38.2667,141.9667,13.68,49,99,4.69,AU,1730420920
78,juneau,58.3019,-134.4197,5.61,97,75,0.0,US,1730420921
79,al hilaliyya,14.9398,33.234,26.47,17,100,5.9,SD,1730420922
80,melfort,52.8667,-104.6177,-0.93,80,53,3.6,CA,1730420924
81,tiksi,71.6872,128.8694,-24.35,100,94,1.63,RU,1730420925
82,colinton,55.9074,-3.2561,11.49,89,100,5.14,GB,1730420926
83,udachny,66.4167,112.4,-14.17,97,100,0.6,RU,1730420927
84,sabang,5.8933,95.3214,28.32,77,43,7.25,ID,1730420928
85,haiku-pauwela,20.9219,-156.3051,27.01,80,75,13.41,US,1730420929
86,lebu,-37.6167,-73.65,11.54,87,85,3.24,CL,1730420930
87,bodo,67.28,14.405,3.02,65,75,6.69,NO,1730420931
88,puerto rico,-26.796,-55.024,26.69,47,85,1.89,AR,1730420932
89,kushima,31.4583,131.2333,21.36,94,100,2.55,JP,1730420933
90,palikir - national government center,6.9248,158.1611,29.41,74,100,2.57,FM,1730420934
91,kingston,17.997,-76.7936,26.76,76,67,2.52,JM,1730420935
92,nykobing sjaelland,55.9249,11.6711,12.23,83,56,13.5,DK,1730420936
93,college,64.8569,-147.8028,-7.53,75,100,2.06,US,1730420883
94,richards bay,-28.783,32.0377,17.92,86,10,1.23,ZA,1730420938
95,thompson,55.7435,-97.8558,-4.91,54,75,1.54,CA,1730420940
96,koszeg,47.3892,16.541,9.71,99,100,1.2,HU,1730420941
97,uray,60.1247,64.7758,0.0,79,51,7.33,RU,1730420942
98,constantia,44.1833,28.65,11.5,70,98,2.74,RO,1730420943
99,luderitz,-26.6481,15.1594,18.24,62,8,1.77,NA,1730420944
100,iskateley,67.6803,53.1512,0.84,97,100,9.86,RU,1730420945
101,cidreira,-30.1811,-50.2056,20.78,82,11,12.87,BR,1730420946
102,puerto aysen,-45.4,-72.7,11.3,94,91,1.27,CL,1730420947
103,san onofre,9.7359,-75.5263,25.42,88,100,2.93,CO,1730420948
104,ondjiva,-17.0667,15.7333,25.02,16,48,2.57,AO,1730420949
105,the bottom,17.6259,-63.2492,25.03,79,100,8.27,BQ,1730420950
106,nishinoomote,30.7333,131.0,25.31,88,75,3.09,JP,1730420951
107,port macquarie,-31.4333,152.9167,19.48,87,65,0.45,AU,1730420952
108,eyl,7.9803,49.8164,25.77,73,24,3.73,SO,1730420953
109,luena,-11.7833,19.9167,18.37,86,100,1.0,AO,1730420954
110,nyrob,60.733,56.7202,1.41,97,100,5.09,RU,1730420955
111,lodja,-3.4833,23.4333,18.95,98,98,0.86,CD,1730420956
112,geraldton,-28.7667,114.6,23.23,73,74,6.17,AU,1730420796
113,port sudan,19.6175,37.2164,29.44,74,4,2.11,SD,1730420959
114,nantucket,41.2835,-70.0995,16.06,88,0,7.77,US,1730420960
115,port lincoln,-34.7333,135.8667,14.82,60,98,6.1,AU,1730420961
116,ola,59.5833,151.2833,-7.26,61,99,6.13,RU,1730420962
117,chonchi,-42.6128,-73.8092,12.29,86,89,1.49,CL,1730420963
118,balkanabat,39.5108,54.3671,14.01,44,18,1.06,TM,1730420964
119,jamestown,42.097,-79.2353,22.79,60,75,7.2,US,1730420965
120,stanley,54.868,-1.6985,9.01,98,75,6.17,GB,1730420966
121,novodvinsk,64.4165,40.8122,-0.14,89,99,4.34,RU,1730420967
122,margaret river,-33.95,115.0667,18.37,70,100,3.26,AU,1730420968
123,whitehorse,60.7161,-135.0538,-0.5,92,75,7.15,CA,1730420969
124,port elizabeth,-33.918,25.5701,16.16,96,0,2.57,ZA,1730420970
125,al marj,32.488,20.8317,16.85,66,29,6.21,LY,1730420971
126,shunyi,40.125,116.6453,11.97,100,0,3.0,CN,1730420972
127,sinan,34.8262,126.1086,14.74,72,100,8.54,KR,1730420973
128,ribeira grande,38.5167,-28.7,22.1,94,100,8.49,PT,1730420974
129,lompoc,34.6391,-120.4579,16.5,73,40,5.66,US,1730420829
130,ambon,-3.6954,128.1814,28.46,100,89,1.32,ID,1730420977
131,rio grande,-32.035,-52.0986,20.19,82,11,10.67,BR,1730420978
132,polyarnyy,69.1989,33.4478,-2.82,79,83,10.08,RU,1730420979
133,el granada,37.5027,-122.4694,16.91,72,0,7.72,US,1730420980
134,dossor,47.5272,52.9811,11.16,88,100,8.38,KZ,1730420981
135,touros,-5.1989,-35.4608,25.42,75,93,6.87,BR,1730420982
136,hamilton,39.1834,-84.5333,17.16,93,100,4.12,US,1730420983
137,mirny,62.5353,113.9611,-17.72,99,99,0.74,RU,1730420984
138,ushuaia,-54.8,-68.3,13.81,54,40,0.51,AR,1730420985
139,severobaykal'sk,55.65,109.3167,-3.95,78,98,1.72,RU,1730420986
140,puerto ayora,-0.7393,-90.3518,20.86,95,75,2.68,EC,1730420987
141,onguday,50.75,86.15,-0.88,89,100,1.4,RU,1730420988
142,tagaytay,14.115,120.9636,23.86,88,93,0.55,PH,1730420989
143,princeville,45.7668,-61.2985,14.06,94,20,4.12,CA,1730420990
144,north bondi,-33.8824,151.2769,22.41,62,75,4.63,AU,1730420991
145,okahandja,-21.9833,16.9167,20.68,33,0,2.89,NA,1730420993
146,colchani,-20.3,-66.9333,13.21,15,0,8.34,BO,1730420994
147,maryville,35.7565,-83.9705,22.17,57,0,2.57,US,1730420995
148,kalavad,22.2167,70.3833,26.3,37,0,2.16,IN,1730420996
149,lihue,21.9789,-159.3672,27.77,71,40,8.23,US,1730420997
150,mabaruma,8.2,-59.7833,24.55,87,54,0.61,GY,1730420998
151,dakhla,23.6848,-15.958,19.01,88,0,5.66,EH,1730420999
152,hawaiian paradise park,19.5933,-154.9731,26.73,88,100,5.66,US,1730421000
153,atherton,53.5237,-2.4935,12.16,88,100,1.34,GB,1730421001
154,isla vista,34.4133,-119.861,19.88,66,0,1.54,US,1730421002
155,peterhead,57.5058,-1.7981,14.9,74,100,11.34,GB,1730421003
156,kapuskasing,49.4169,-82.4331,1.0,93,100,4.12,CA,1730421004
157,margate,51.3813,1.3862,12.05,91,0,3.37,GB,1730421005
158,courtenay,49.6866,-124.9936,10.11,71,75,6.17,CA,1730420947
159,klyuchi,52.2667,79.1667,1.94,92,93,3.1,RU,1730421007
